SITE NUMBER: 00036 RATED CAP: 1120.2 IEC CLASS: 1 LOSSES (%): 17.4
SITE LATITUDE:   44.59341 LONGITUDE:  -96.63390
DATE,TIME(UTC),SPEED80M(M/S),NETPOWER(MW)
20040101,0010,9.34,522.07
20040101,0020,9.39,529.69
20040101,0030,9.24,499.97
20040101,0040,9.12,480.63
20040101,0050,9.29,502.51
20040101,0100,9.42,525.72
20040101,0110,9.74,572.06
20040101,0120,10.13,624.49
20040101,0130,10.44,688.33
20040101,0140,10.84,744.41
20040101,0150,11.35,837.07
20040101,0200,11.64,849.89
20040101,0210,11.77,880.49
20040101,0220,11.91,896.77
20040101,0230,11.96,886.71
20040101,0240,12.01,901.36
20040101,0250,11.94,891.57
20040101,0300,11.92,879.92
20040101,0310,12.03,877.76
20040101,0320,12.12,885.92
20040101,0330,12.04,882.97
20040101,0340,11.90,880.03
20040101,0350,12.03,890.26
20040101,0400,12.36,922.10
20040101,0410,12.59,946.14
20040101,0420,12.64,956.34
20040101,0430,12.58,957.56
20040101,0440,12.53,947.77
20040101,0450,12.61,959.46
20040101,0500,12.73,969.96
20040101,0510,12.63,957.79
20040101,0520,12.48,949.58
20040101,0530,12.44,969.85
20040101,0540,12.49,975.80
20040101,0550,12.49,981.21
20040101,0600,12.54,973.04
20040101,0610,12.68,991.76
20040101,0620,12.87,947.54
20040101,0630,12.92,949.84
20040101,0640,12.96,956.40
20040101,0650,13.04,963.30
20040101,0700,13.27,974.86
20040101,0710,13.39,977.57
20040101,0720,13.51,981.89
20040101,0730,13.56,980.66
20040101,0740,13.63,983.90
20040101,0750,13.69,986.13
20040101,0800,13.76,986.45
20040101,0810,13.84,991.15
20040101,0820,13.92,992.45
20040101,0830,13.97,996.40
20040101,0840,13.97,996.57
20040101,0850,14.00,999.84
20040101,0900,14.05,1002.35
20040101,0910,14.15,1004.53
20040101,0920,14.21,1007.51
20040101,0930,14.27,1007.61
20040101,0940,14.22,1006.79
20040101,0950,14.12,1012.14
20040101,1000,14.15,1012.48
20040101,1010,14.22,1015.32
20040101,1020,14.35,1019.25
20040101,1030,14.38,1022.10
20040101,1040,14.40,1010.23
20040101,1050,14.34,1009.82
20040101,1100,14.29,1011.43
20040101,1110,14.22,1012.41
20040101,1120,14.16,1043.37
20040101,1130,14.03,1039.68
20040101,1140,13.99,1038.73
20040101,1150,14.01,1039.51
20040101,1200,13.66,1031.86
20040101,1210,13.42,1030.49
20040101,1220,13.04,1025.44
20040101,1230,12.79,1016.28
20040101,1240,12.43,1000.05
20040101,1250,12.11,980.99
20040101,1300,11.85,952.77
20040101,1310,11.72,939.62
20040101,1320,11.86,955.30
20040101,1330,12.15,973.59
20040101,1340,12.54,999.71
20040101,1350,12.81,1016.64
20040101,1400,12.93,1019.03
20040101,1410,13.10,1011.09
20040101,1420,13.16,1010.08
20040101,1430,13.25,1015.74
20040101,1440,13.09,1005.49
20040101,1450,12.89,998.06
20040101,1500,12.64,903.07
20040101,1510,12.50,893.68
20040101,1520,12.48,894.76
20040101,1530,12.56,902.27
20040101,1540,12.45,895.89
20040101,1550,12.30,885.47
20040101,1600,12.37,893.86
20040101,1610,12.88,997.82
20040101,1620,13.42,1023.79
20040101,1630,13.62,1032.85
20040101,1640,13.97,1042.99
20040101,1650,14.47,1053.45
20040101,1700,14.89,1057.97
20040101,1710,15.01,1057.10
20040101,1720,15.12,1057.63
20040101,1730,14.78,1052.85
20040101,1740,14.54,1044.77
20040101,1750,14.52,1045.28
20040101,1800,14.72,1044.50
20040101,1810,14.61,1043.00
20040101,1820,14.41,1035.19
20040101,1830,14.23,1030.04
20040101,1840,14.22,1029.39
20040101,1850,14.50,1036.14
20040101,1900,15.04,1030.00
20040101,1910,15.24,1028.53
20040101,1920,15.35,1025.71
20040101,1930,15.20,1013.29
20040101,1940,14.98,1001.95
20040101,1950,14.95,995.47
20040101,2000,14.75,982.84
20040101,2010,14.36,974.27
20040101,2020,14.41,968.73
20040101,2030,14.39,957.62
20040101,2040,14.14,940.59
20040101,2050,14.03,929.16
20040101,2100,13.66,912.59
20040101,2110,13.75,908.87
20040101,2120,13.98,937.27
20040101,2130,14.39,949.33
20040101,2140,14.57,946.95
20040101,2150,14.65,945.78
20040101,2200,14.91,950.07
20040101,2210,15.18,951.56
20040101,2220,15.35,951.96
20040101,2230,15.65,916.93
20040101,2240,15.74,918.46
20040101,2250,15.66,917.80
20040101,2300,15.35,916.08
20040101,2310,14.65,929.35
20040101,2320,13.69,897.41
20040101,2330,12.98,853.78
20040101,2340,12.78,836.59
20040101,2350,12.85,842.99
20040102,0000,12.85,846.68
20040102,0010,12.95,850.33
20040102,0020,13.02,862.24
20040102,0030,13.10,877.57
20040102,0040,13.14,893.53
20040102,0050,13.19,902.24
20040102,0100,13.62,926.64
20040102,0110,13.54,923.30
20040102,0120,13.28,913.15
20040102,0130,12.99,885.01
20040102,0140,12.40,834.53
20040102,0150,11.72,758.40
20040102,0200,11.26,703.76
20040102,0210,11.26,703.69
20040102,0220,11.31,709.85
20040102,0230,11.38,702.73
20040102,0240,11.63,725.24
20040102,0250,11.91,758.52
20040102,0300,12.37,800.14
20040102,0310,12.59,817.15
20040102,0320,12.84,837.01
20040102,0330,13.11,853.19
20040102,0340,13.24,857.78
20040102,0350,13.23,859.79
20040102,0400,13.00,838.78
20040102,0410,12.69,815.18
20040102,0420,12.21,769.38
20040102,0430,11.84,728.93
20040102,0440,11.42,679.87
20040102,0450,10.82,608.15
20040102,0500,10.20,528.79
20040102,0510,9.51,441.69
20040102,0520,8.78,353.43
20040102,0530,8.35,306.78
20040102,0540,8.47,323.56
20040102,0550,8.41,321.88
20040102,0600,8.18,298.87
20040102,0610,8.59,346.94
20040102,0620,9.11,418.33
20040102,0630,9.17,431.33
20040102,0640,9.42,470.50
20040102,0650,9.77,536.36
20040102,0700,10.29,616.03
20040102,0710,10.60,664.15
20040102,0720,10.47,648.04
20040102,0730,10.34,628.53
20040102,0740,10.78,695.63
20040102,0750,11.37,776.30
20040102,0800,12.31,879.86
20040102,0810,13.69,947.90
20040102,0820,15.09,973.70
20040102,0830,15.13,978.42
20040102,0840,15.35,984.28
20040102,0850,15.55,990.64
20040102,0900,15.77,995.37
20040102,0910,15.78,1001.15
20040102,0920,16.18,986.11
20040102,0930,16.53,1004.04
20040102,0940,16.60,1010.59
20040102,0950,16.55,1013.07
20040102,1000,16.51,1016.74
20040102,1010,16.19,1018.00
20040102,1020,16.00,1012.33
20040102,1030,15.61,1013.57
20040102,1040,15.17,1026.31
20040102,1050,14.96,1026.61
20040102,1100,14.87,1025.71
20040102,1110,14.72,985.37
20040102,1120,14.59,983.28
20040102,1130,14.43,981.93
20040102,1140,14.41,981.72
20040102,1150,14.53,983.94
20040102,1200,14.80,988.81
20040102,1210,14.99,990.01
20040102,1220,15.22,1018.80
20040102,1230,15.49,1030.56
20040102,1240,15.73,1042.94
20040102,1250,15.99,1055.56
20040102,1300,16.35,1052.99
20040102,1310,16.49,1051.31
20040102,1320,16.47,1050.52
20040102,1330,16.26,1050.14
20040102,1340,15.91,1049.76
20040102,1350,15.49,1048.78
20040102,1400,15.09,1057.90
20040102,1410,14.92,1055.85
20040102,1420,14.62,1051.05
20040102,1430,14.40,1042.61
20040102,1440,14.08,1035.01
20040102,1450,13.74,1026.81
20040102,1500,13.43,1018.45
20040102,1510,13.36,1013.69
20040102,1520,13.30,1007.61
20040102,1530,13.45,1012.08
20040102,1540,13.50,1017.07
20040102,1550,13.30,1011.54
20040102,1600,13.31,1008.83
20040102,1610,13.30,1007.64
20040102,1620,13.23,1005.76
20040102,1630,13.00,989.17
20040102,1640,12.63,960.20
20040102,1650,12.24,949.70
20040102,1700,11.83,901.17
20040102,1710,11.49,866.73
20040102,1720,11.33,839.63
20040102,1730,11.17,809.26
20040102,1740,11.31,828.39
20040102,1750,11.81,882.45
20040102,1800,12.08,917.83
20040102,1810,12.29,927.67
20040102,1820,12.50,940.92
20040102,1830,12.81,963.46
20040102,1840,13.19,978.88
20040102,1850,14.01,1014.19
20040102,1900,14.94,1032.75
20040102,1910,15.55,1038.00
20040102,1920,16.02,1041.81
20040102,1930,16.44,1043.55
20040102,1940,16.74,1031.88
20040102,1950,16.99,1032.50
20040102,2000,17.28,1033.86
20040102,2010,17.51,1035.57
20040102,2020,17.52,1037.05
20040102,2030,17.31,1037.67
20040102,2040,17.08,1038.42
20040102,2050,16.93,1012.57
20040102,2100,16.52,1075.61
20040102,2110,16.51,1076.16
20040102,2120,16.84,1078.78
20040102,2130,17.06,1079.48
20040102,2140,16.97,1079.61
20040102,2150,17.21,1071.22
20040102,2200,17.28,1072.09
20040102,2210,17.06,1052.32
20040102,2220,16.81,1052.36
20040102,2230,16.84,1028.13
20040102,2240,17.12,1029.20
20040102,2250,17.61,1029.21
20040102,2300,18.06,1029.55
20040102,2310,18.42,1029.89
20040102,2320,18.68,1029.86
20040102,2330,18.87,1029.65
20040102,2340,19.07,1028.90
20040102,2350,19.05,1029.06
20040103,0000,17.62,1031.16
20040103,0010,16.09,1086.59
20040103,0020,14.73,1086.59
20040103,0030,13.30,1054.05
20040103,0040,11.73,931.11
20040103,0050,10.23,746.61
20040103,0100,10.64,793.80
20040103,0110,11.40,841.71
