SITE NUMBER: 00054 RATED CAP: 1033.0 IEC CLASS: 1 LOSSES (%): 17.0
SITE LATITUDE:   41.95612 LONGITUDE: -101.28220
DATE,TIME(UTC),SPEED80M(M/S),NETPOWER(MW)
20040101,0010,10.09,608.23
20040101,0020,10.69,686.26
20040101,0030,11.55,801.61
20040101,0040,11.86,836.69
20040101,0050,11.61,810.19
20040101,0100,10.90,714.31
20040101,0110,10.57,665.28
20040101,0120,10.10,592.30
20040101,0130,9.96,561.68
20040101,0140,9.77,525.10
20040101,0150,9.64,507.05
20040101,0200,10.04,570.32
20040101,0210,10.47,625.35
20040101,0220,10.92,697.95
20040101,0230,11.22,738.87
20040101,0240,11.41,763.29
20040101,0250,11.55,786.35
20040101,0300,11.71,786.53
20040101,0310,11.74,793.88
20040101,0320,11.65,768.57
20040101,0330,11.31,732.68
20040101,0340,11.20,723.10
20040101,0350,11.49,752.65
20040101,0400,11.83,786.64
20040101,0410,12.07,810.93
20040101,0420,12.10,811.85
20040101,0430,12.03,805.32
20040101,0440,11.84,793.35
20040101,0450,11.68,784.75
20040101,0500,11.51,759.28
20040101,0510,11.24,729.37
20040101,0520,11.12,718.49
20040101,0530,11.15,722.11
20040101,0540,11.13,715.74
20040101,0550,11.03,701.95
20040101,0600,10.92,688.86
20040101,0610,10.79,677.35
20040101,0620,10.60,639.04
20040101,0630,10.36,607.04
20040101,0640,10.11,580.29
20040101,0650,10.04,559.02
20040101,0700,10.03,555.01
20040101,0710,9.98,545.85
20040101,0720,9.86,523.38
20040101,0730,9.91,520.70
20040101,0740,9.91,516.70
20040101,0750,9.54,468.71
20040101,0800,8.89,387.13
20040101,0810,8.15,300.72
20040101,0820,7.65,252.04
20040101,0830,7.75,258.74
20040101,0840,8.48,327.16
20040101,0850,9.19,390.17
20040101,0900,9.69,443.46
20040101,0910,10.15,497.71
20040101,0920,10.52,543.65
20040101,0930,10.83,583.60
20040101,0940,11.34,617.41
20040101,0950,11.88,673.12
20040101,1000,12.56,736.84
20040101,1010,13.38,802.66
20040101,1020,14.74,856.93
20040101,1030,16.34,879.82
20040101,1040,16.33,882.20
20040101,1050,16.23,885.51
20040101,1100,15.98,890.24
20040101,1110,16.08,896.94
20040101,1120,16.13,901.67
20040101,1130,16.02,904.65
20040101,1140,15.91,907.34
20040101,1150,15.72,908.37
20040101,1200,15.72,910.69
20040101,1210,15.67,914.87
20040101,1220,15.65,916.71
20040101,1230,15.62,918.45
20040101,1240,15.61,927.47
20040101,1250,15.61,928.57
20040101,1300,16.36,936.39
20040101,1310,16.85,939.21
20040101,1320,16.93,939.61
20040101,1330,17.67,940.75
20040101,1340,17.79,940.99
20040101,1350,17.95,940.83
20040101,1400,18.03,940.38
20040101,1410,17.97,940.12
20040101,1420,18.17,940.09
20040101,1430,18.33,939.96
20040101,1440,18.27,939.67
20040101,1450,18.16,939.81
20040101,1500,17.91,939.77
20040101,1510,17.62,939.48
20040101,1520,17.25,939.53
20040101,1530,16.86,939.26
20040101,1540,16.32,938.39
20040101,1550,15.67,933.48
20040101,1600,15.10,927.05
20040101,1610,14.79,965.27
20040101,1620,14.54,932.56
20040101,1630,14.30,926.22
20040101,1640,14.12,915.50
20040101,1650,14.08,916.05
20040101,1700,14.17,917.82
20040101,1710,14.30,918.66
20040101,1720,14.48,923.62
20040101,1730,14.42,921.04
20040101,1740,14.18,911.50
20040101,1750,13.93,903.10
20040101,1800,13.87,901.00
20040101,1810,13.88,902.35
20040101,1820,13.68,887.49
20040101,1830,13.41,873.20
20040101,1840,13.13,852.46
20040101,1850,12.91,836.06
20040101,1900,12.67,812.94
20040101,1910,12.32,787.27
20040101,1920,12.08,748.23
20040101,1930,11.76,721.59
20040101,1940,11.52,683.61
20040101,1950,11.36,602.04
20040101,2000,11.23,590.25
20040101,2010,11.06,560.19
20040101,2020,10.72,515.55
20040101,2030,10.44,468.97
20040101,2040,10.09,416.46
20040101,2050,9.59,364.57
20040101,2100,8.82,309.16
20040101,2110,7.89,216.78
20040101,2120,7.00,147.34
20040101,2130,6.46,107.41
20040101,2140,6.10,86.61
20040101,2150,5.90,71.99
20040101,2200,5.81,62.92
20040101,2210,5.80,60.19
20040101,2220,5.84,59.14
20040101,2230,5.76,56.43
20040101,2240,5.43,47.69
20040101,2250,5.17,47.65
20040101,2300,5.51,62.49
20040101,2310,6.62,121.71
20040101,2320,7.68,194.39
20040101,2330,8.19,229.42
20040101,2340,8.51,252.61
20040101,2350,8.78,278.99
20040102,0000,8.18,232.32
20040102,0010,7.52,177.32
20040102,0020,6.80,147.95
20040102,0030,6.14,127.79
20040102,0040,5.52,110.68
20040102,0050,4.88,96.10
20040102,0100,6.50,173.68
20040102,0110,7.31,225.98
20040102,0120,8.28,309.36
20040102,0130,9.86,483.03
20040102,0140,11.12,636.73
20040102,0150,12.10,748.97
20040102,0200,13.03,821.37
20040102,0210,13.95,861.56
20040102,0220,14.31,865.03
20040102,0230,14.34,857.56
20040102,0240,13.97,842.73
20040102,0250,13.75,832.15
20040102,0300,13.74,830.02
20040102,0310,13.88,833.51
20040102,0320,13.25,758.92
20040102,0330,12.39,699.11
20040102,0340,11.69,631.88
20040102,0350,11.36,662.33
20040102,0400,11.58,682.91
20040102,0410,12.36,766.69
20040102,0420,13.15,830.32
20040102,0430,13.38,844.00
20040102,0440,13.38,847.03
20040102,0450,13.64,859.87
20040102,0500,13.75,864.51
20040102,0510,13.62,836.95
20040102,0520,13.47,829.85
20040102,0530,13.40,817.21
20040102,0540,13.52,825.22
20040102,0550,13.68,832.31
20040102,0600,14.09,847.05
20040102,0610,14.22,840.38
20040102,0620,14.31,843.02
20040102,0630,14.29,841.25
20040102,0640,14.24,841.98
20040102,0650,14.24,841.98
20040102,0700,13.77,829.04
20040102,0710,13.25,805.36
20040102,0720,12.62,774.32
20040102,0730,12.33,754.42
20040102,0740,12.13,723.37
20040102,0750,12.16,715.23
20040102,0800,12.29,712.60
20040102,0810,12.39,711.41
20040102,0820,12.65,741.92
20040102,0830,12.89,733.04
20040102,0840,13.22,758.01
20040102,0850,13.49,777.73
20040102,0900,13.81,792.04
20040102,0910,14.18,808.37
20040102,0920,14.52,820.88
20040102,0930,14.77,835.09
20040102,0940,14.73,834.47
20040102,0950,14.61,829.20
20040102,1000,14.54,831.21
20040102,1010,14.47,827.51
20040102,1020,14.32,830.85
20040102,1030,14.16,794.97
20040102,1040,14.29,801.40
20040102,1050,14.53,805.97
20040102,1100,14.88,816.48
20040102,1110,15.13,821.58
20040102,1120,15.48,826.95
20040102,1130,16.02,833.15
20040102,1140,16.61,832.88
20040102,1150,17.01,834.74
20040102,1200,16.52,854.46
20040102,1210,16.00,857.30
20040102,1220,15.51,861.62
20040102,1230,15.03,860.68
20040102,1240,14.59,857.26
20040102,1250,14.04,841.69
20040102,1300,14.12,844.71
20040102,1310,14.17,848.76
20040102,1320,13.69,821.78
20040102,1330,13.47,810.70
20040102,1340,13.03,777.46
20040102,1350,12.60,740.67
20040102,1400,12.14,703.27
20040102,1410,11.89,678.82
20040102,1420,12.00,690.94
20040102,1430,12.41,730.39
20040102,1440,12.51,739.43
20040102,1450,12.88,755.18
20040102,1500,13.05,768.47
20040102,1510,13.16,776.33
20040102,1520,13.50,818.26
20040102,1530,14.10,848.97
20040102,1540,14.72,873.37
20040102,1550,15.34,886.36
20040102,1600,15.85,891.65
20040102,1610,16.11,894.13
20040102,1620,16.07,893.71
20040102,1630,16.22,894.96
20040102,1640,16.02,893.86
20040102,1650,15.74,892.06
20040102,1700,15.74,893.24
20040102,1710,15.79,877.73
20040102,1720,16.10,881.49
20040102,1730,16.48,883.73
20040102,1740,16.54,885.11
20040102,1750,16.29,885.18
20040102,1800,15.85,798.65
20040102,1810,15.45,794.32
20040102,1820,15.06,865.42
20040102,1830,14.69,856.52
20040102,1840,14.15,810.82
20040102,1850,13.57,779.10
20040102,1900,12.99,744.70
20040102,1910,12.30,685.51
20040102,1920,12.70,742.34
20040102,1930,12.83,755.21
20040102,1940,12.43,731.06
20040102,1950,12.04,680.88
20040102,2000,11.74,666.66
20040102,2010,11.36,606.77
20040102,2020,10.91,567.80
20040102,2030,10.47,513.27
20040102,2040,10.06,456.87
20040102,2050,9.79,419.59
20040102,2100,9.60,381.94
20040102,2110,9.45,355.62
20040102,2120,9.18,307.51
20040102,2130,8.90,277.31
20040102,2140,8.60,225.96
20040102,2150,8.34,205.35
20040102,2200,8.39,204.34
20040102,2210,8.72,234.35
20040102,2220,8.75,222.72
20040102,2230,8.76,213.22
20040102,2240,8.81,211.58
20040102,2250,9.31,269.88
20040102,2300,9.41,281.07
20040102,2310,9.01,232.26
20040102,2320,8.67,193.81
20040102,2330,8.80,208.70
20040102,2340,8.82,210.01
20040102,2350,8.59,209.33
20040103,0000,8.77,219.01
20040103,0010,8.86,209.59
20040103,0020,9.00,219.95
20040103,0030,9.13,232.97
20040103,0040,9.37,268.28
20040103,0050,9.47,277.67
20040103,0100,9.48,285.39
20040103,0110,9.97,359.29
20040103,0120,10.16,394.14
20040103,0130,10.12,392.11
20040103,0140,9.88,365.61
20040103,0150,9.66,333.79
20040103,0200,9.08,265.38
20040103,0210,8.47,193.16
20040103,0220,8.34,169.63
20040103,0230,8.19,159.28
20040103,0240,7.64,105.62
20040103,0250,7.10,64.39
20040103,0300,6.67,41.77
20040103,0310,6.29,41.73
20040103,0320,6.92,77.48
20040103,0330,9.08,256.51
20040103,0340,10.99,463.87
20040103,0350,11.22,501.61
20040103,0400,11.13,493.42
20040103,0410,11.73,575.31
20040103,0420,12.06,606.50
20040103,0430,11.50,549.45
20040103,0440,10.74,468.96
20040103,0450,10.20,392.35
20040103,0500,9.80,349.78
20040103,0510,9.64,344.21
20040103,0520,9.61,320.54
20040103,0530,9.81,364.10
20040103,0540,10.00,377.00
20040103,0550,9.84,363.21
20040103,0600,9.80,358.98
20040103,0610,9.77,336.47
20040103,0620,9.79,339.69
20040103,0630,9.40,302.00
20040103,0640,8.54,192.62
20040103,0650,7.55,93.73
20040103,0700,6.80,41.12
20040103,0710,6.27,41.11
20040103,0720,5.74,41.11
20040103,0730,5.71,41.11
20040103,0740,5.86,42.15
20040103,0750,6.06,44.88
20040103,0800,6.06,46.75
20040103,0810,6.27,49.53
20040103,0820,6.65,79.91
20040103,0830,6.99,84.91
20040103,0840,7.12,95.76
20040103,0850,4.54,41.22
20040103,0900,2.61,41.25
20040103,0910,3.29,41.28
20040103,0920,3.88,44.37
20040103,0930,4.20,43.20
20040103,0940,4.50,46.03
20040103,0950,4.97,57.27
20040103,1000,5.38,66.29
20040103,1010,5.43,64.32
20040103,1020,5.19,54.76
20040103,1030,4.15,41.64
20040103,1040,3.02,41.68
20040103,1050,2.92,41.72
20040103,1100,3.27,41.83
20040103,1110,3.21,41.80
20040103,1120,3.42,41.90
20040103,1130,3.85,48.40
20040103,1140,4.03,50.61
20040103,1150,3.76,44.34
20040103,1200,3.98,49.73
20040103,1210,4.19,55.11
20040103,1220,4.37,59.68
20040103,1230,4.59,66.89
20040103,1240,4.85,74.94
20040103,1250,5.04,78.93
20040103,1300,5.31,89.94
20040103,1310,5.01,79.54
20040103,1320,4.13,53.74
20040103,1330,3.63,44.01
20040103,1340,3.52,42.53
20040103,1350,3.60,42.63
20040103,1400,3.39,42.74
20040103,1410,2.35,42.86
20040103,1420,1.89,42.98
20040103,1430,1.67,43.10
20040103,1440,1.28,43.43
20040103,1450,.89,43.60
20040103,1500,.97,43.76
20040103,1510,1.46,43.98
20040103,1520,1.63,44.12
20040103,1530,2.04,44.94
20040103,1540,2.30,46.16
20040103,1550,2.39,46.64
20040103,1600,2.36,46.58
20040103,1610,2.24,46.49
20040103,1620,2.55,47.79
20040103,1630,2.89,49.82
20040103,1640,3.15,52.83
20040103,1650,3.09,52.82
20040103,1700,2.74,51.90
20040103,1710,3.08,55.06
20040103,1720,3.77,63.54
20040103,1730,4.44,80.91
20040103,1740,5.02,100.01
20040103,1750,5.27,108.64
20040103,1800,5.17,106.81
20040103,1810,5.09,104.22
20040103,1820,4.82,97.62
20040103,1830,4.42,84.46
20040103,1840,4.05,76.32
20040103,1850,3.99,74.36
20040103,1900,4.18,80.30
20040103,1910,4.39,83.91
20040103,1920,4.69,96.51
20040103,1930,5.10,111.72
20040103,1940,5.50,132.29
20040103,1950,5.97,153.42
20040103,2000,6.28,173.91
20040103,2010,6.48,192.05
20040103,2020,6.69,202.32
20040103,2030,6.85,213.64
20040103,2040,7.09,238.52
20040103,2050,7.40,256.95
20040103,2100,7.59,274.70
20040103,2110,7.75,289.47
20040103,2120,7.90,288.46
20040103,2130,8.05,300.19
20040103,2140,8.07,304.68
20040103,2150,8.05,301.50
20040103,2200,8.09,309.02
20040103,2210,8.01,313.22
20040103,2220,7.80,291.14
20040103,2230,7.67,276.25
20040103,2240,7.43,263.96
20040103,2250,7.21,254.17
20040103,2300,7.10,245.24
20040103,2310,7.05,245.57
20040103,2320,6.94,230.84
20040103,2330,6.77,220.60
20040103,2340,6.57,206.51
20040103,2350,6.38,198.96
20040104,0000,6.24,196.14
20040104,0010,5.89,179.32
20040104,0020,5.77,178.60
20040104,0030,5.63,178.03
20040104,0040,5.36,168.85
20040104,0050,5.18,166.25
20040104,0100,5.04,157.69
20040104,0110,4.65,140.98
20040104,0120,4.61,141.89
20040104,0130,5.08,154.23
20040104,0140,5.73,174.45
20040104,0150,6.53,209.94
20040104,0200,7.14,258.45
20040104,0210,7.59,291.17
20040104,0220,7.95,322.49
20040104,0230,7.98,322.44
20040104,0240,7.82,311.48
20040104,0250,7.53,285.34
20040104,0300,7.29,271.55
20040104,0310,7.27,274.74
20040104,0320,7.49,296.22
20040104,0330,7.56,306.41
20040104,0340,7.51,304.19
20040104,0350,7.41,295.95
20040104,0400,7.41,301.81
20040104,0410,7.43,303.92
20040104,0420,7.26,291.28
20040104,0430,6.91,268.54
20040104,0440,6.68,251.09
20040104,0450,6.66,251.92
20040104,0500,6.82,262.56
20040104,0510,6.89,266.92
20040104,0520,6.67,247.94
20040104,0530,6.42,238.28
20040104,0540,6.21,227.82
20040104,0550,5.96,216.07
20040104,0600,5.72,201.75
20040104,0610,5.36,187.34
20040104,0620,5.03,174.78
20040104,0630,4.90,171.40
20040104,0640,4.85,169.58
20040104,0650,4.94,175.45
20040104,0700,5.09,177.65
20040104,0710,5.24,182.65
20040104,0720,5.32,185.73
20040104,0730,5.17,173.25
20040104,0740,4.89,161.46
20040104,0750,4.48,147.46
20040104,0800,4.03,131.93
20040104,0810,3.57,120.48
20040104,0820,3.31,115.56
20040104,0830,3.21,114.84
20040104,0840,3.19,113.70
20040104,0850,3.18,109.58
20040104,0900,3.01,102.18
20040104,0910,2.56,98.20
20040104,0920,1.88,95.13
20040104,0930,1.44,91.86
20040104,0940,1.63,90.65
20040104,0950,2.14,90.99
20040104,1000,2.35,90.77
20040104,1010,2.44,90.20
20040104,1020,2.93,92.19
20040104,1030,3.68,102.70
20040104,1040,4.05,112.85
20040104,1050,4.01,109.86
20040104,1100,3.97,109.03
20040104,1110,3.96,108.16
20040104,1120,3.76,104.02
20040104,1130,3.29,95.36
20040104,1140,2.83,91.63
20040104,1150,2.44,90.32
20040104,1200,2.39,88.74
20040104,1210,2.37,85.51
20040104,1220,2.38,82.56
20040104,1230,2.41,79.25
20040104,1240,2.33,75.67
20040104,1250,2.35,71.48
20040104,1300,2.26,70.19
20040104,1310,2.30,68.91
20040104,1320,2.98,69.24
20040104,1330,4.16,87.05
20040104,1340,5.17,116.37
20040104,1350,5.48,125.43
20040104,1400,4.86,99.76
20040104,1410,4.66,94.01
20040104,1420,4.63,92.88
20040104,1430,4.53,89.41
20040104,1440,4.24,80.99
20040104,1450,3.93,75.12
20040104,1500,3.91,74.19
20040104,1510,3.98,75.25
20040104,1520,3.91,73.32
20040104,1530,3.58,64.89
20040104,1540,3.31,64.96
20040104,1550,3.27,65.04
20040104,1600,3.51,69.78
20040104,1610,3.76,73.63
20040104,1620,3.50,69.57
20040104,1630,3.19,65.35
20040104,1640,3.19,65.42
20040104,1650,3.40,67.00
20040104,1700,3.58,71.42
20040104,1710,3.56,70.73
20040104,1720,3.39,66.50
20040104,1730,3.08,65.69
20040104,1740,2.70,65.70
20040104,1750,2.39,65.71
20040104,1800,2.20,65.72
20040104,1810,2.17,65.73
20040104,1820,2.17,65.74
20040104,1830,2.21,65.75
20040104,1840,2.17,65.76
20040104,1850,2.05,65.76
20040104,1900,1.86,65.76
20040104,1910,1.78,65.76
20040104,1920,1.83,66.58
20040104,1930,1.82,67.06
20040104,1940,1.73,67.48
20040104,1950,1.61,68.24
20040104,2000,1.52,69.21
20040104,2010,1.53,70.23
20040104,2020,1.68,71.72
20040104,2030,1.80,72.46
20040104,2040,1.73,73.86
20040104,2050,1.57,74.95
20040104,2100,1.46,75.67
20040104,2110,1.38,77.39
20040104,2120,1.27,78.90
20040104,2130,1.16,79.46
20040104,2140,.98,79.01
20040104,2150,.84,80.05
20040104,2200,.71,80.84
20040104,2210,.47,81.32
20040104,2220,.37,81.07
20040104,2230,.60,79.93
20040104,2240,.90,79.60
20040104,2250,1.23,78.96
20040104,2300,1.49,78.74
20040104,2310,1.69,78.70
20040104,2320,1.89,79.06
20040104,2330,2.38,80.60
20040104,2340,3.18,86.16
20040104,2350,4.00,101.56
20040105,0000,4.74,122.91
20040105,0010,5.60,158.38
20040105,0020,6.49,201.82
20040105,0030,7.38,257.92
20040105,0040,8.10,315.07
20040105,0050,8.95,394.90
20040105,0100,9.44,452.13
20040105,0110,9.80,488.57
20040105,0120,10.05,511.90
20040105,0130,9.71,458.91
20040105,0140,9.41,414.90
20040105,0150,9.04,375.60
20040105,0200,8.73,345.40
20040105,0210,8.91,361.76
20040105,0220,9.01,379.90
20040105,0230,9.09,381.70
20040105,0240,9.15,385.79
20040105,0250,8.80,349.98
20040105,0300,8.27,300.85
20040105,0310,7.82,262.44
20040105,0320,7.55,238.27
20040105,0330,7.16,208.85
20040105,0340,6.78,186.11
20040105,0350,6.38,160.22
20040105,0400,6.07,142.93
20040105,0410,6.05,139.81
20040105,0420,6.05,143.55
20040105,0430,6.03,146.83
20040105,0440,5.99,140.73
20040105,0450,6.01,141.93
20040105,0500,6.03,138.28
20040105,0510,5.99,134.83
20040105,0520,5.82,123.05
20040105,0530,5.60,109.57
20040105,0540,5.52,101.48
20040105,0550,5.49,95.48
20040105,0600,5.34,89.33
