SITE NUMBER: 00072 RATED CAP:   99.7 IEC CLASS: 1 LOSSES (%): 17.1
SITE LATITUDE:   45.58204 LONGITUDE:  -69.40916
DATE,TIME(UTC),SPEED80M(M/S),NETPOWER(MW)
20040101,0010,7.31,19.23
20040101,0020,7.36,17.85
20040101,0030,8.19,24.70
20040101,0040,9.40,36.03
20040101,0050,10.36,50.33
20040101,0100,10.67,54.65
20040101,0110,10.33,50.51
20040101,0120,10.22,49.78
20040101,0130,10.45,50.00
20040101,0140,10.05,44.82
20040101,0150,9.94,43.38
20040101,0200,9.92,44.06
20040101,0210,9.74,42.62
20040101,0220,9.51,40.05
20040101,0230,9.14,35.16
20040101,0240,8.95,32.95
20040101,0250,9.04,34.60
20040101,0300,8.94,32.70
20040101,0310,8.91,33.48
20040101,0320,8.99,34.70
20040101,0330,9.05,35.45
20040101,0340,9.17,36.01
20040101,0350,9.16,37.51
20040101,0400,9.22,35.61
20040101,0410,9.24,37.04
20040101,0420,9.20,36.43
20040101,0430,9.25,35.78
20040101,0440,9.39,37.98
20040101,0450,9.70,41.54
20040101,0500,9.91,43.85
20040101,0510,9.97,45.93
20040101,0520,10.12,48.77
20040101,0530,10.37,52.12
20040101,0540,10.68,57.06
20040101,0550,10.94,56.46
20040101,0600,10.92,58.35
20040101,0610,10.94,61.19
20040101,0620,11.08,61.07
20040101,0630,11.06,63.55
20040101,0640,11.07,64.90
20040101,0650,11.12,64.99
20040101,0700,11.34,65.20
20040101,0710,11.58,70.34
20040101,0720,11.63,72.99
20040101,0730,11.67,73.25
20040101,0740,11.77,75.04
20040101,0750,12.05,74.78
20040101,0800,12.42,81.44
20040101,0810,12.79,83.91
20040101,0820,13.19,83.98
20040101,0830,13.62,85.67
20040101,0840,13.86,87.23
20040101,0850,14.05,87.32
20040101,0900,14.11,86.63
20040101,0910,13.88,86.69
20040101,0920,14.34,89.06
20040101,0930,15.59,91.46
20040101,0940,16.15,90.97
20040101,0950,15.75,90.64
20040101,1000,14.96,85.87
20040101,1010,14.06,83.71
20040101,1020,13.46,83.94
20040101,1030,13.39,81.57
20040101,1040,13.51,84.00
20040101,1050,13.47,83.61
20040101,1100,13.05,81.42
20040101,1110,12.46,78.51
20040101,1120,11.91,75.90
20040101,1130,11.54,69.38
20040101,1140,11.35,68.01
20040101,1150,11.33,67.67
20040101,1200,11.43,70.43
20040101,1210,11.72,69.57
20040101,1220,11.77,73.45
20040101,1230,12.00,72.89
20040101,1240,12.28,76.58
20040101,1250,12.56,76.70
20040101,1300,12.79,79.44
20040101,1310,12.86,82.88
20040101,1320,13.21,82.55
20040101,1330,13.48,83.95
20040101,1340,13.34,82.86
20040101,1350,13.61,82.61
20040101,1400,14.01,83.84
20040101,1410,14.45,85.71
20040101,1420,14.74,86.09
20040101,1430,14.82,86.16
20040101,1440,14.95,87.02
20040101,1450,15.04,87.38
20040101,1500,15.03,87.32
20040101,1510,14.91,86.91
20040101,1520,14.64,87.02
20040101,1530,14.34,86.55
20040101,1540,14.10,85.67
20040101,1550,13.80,84.94
20040101,1600,13.44,84.95
20040101,1610,13.27,84.19
20040101,1620,13.22,84.50
20040101,1630,13.19,82.99
20040101,1640,13.20,81.92
20040101,1650,13.21,83.31
20040101,1700,13.13,83.82
20040101,1710,13.10,83.51
20040101,1720,12.93,81.57
20040101,1730,12.69,78.72
20040101,1740,12.47,78.29
20040101,1750,12.31,81.60
20040101,1800,12.22,80.10
20040101,1810,12.06,75.29
20040101,1820,11.94,74.85
20040101,1830,11.95,79.43
20040101,1840,12.06,81.63
20040101,1850,12.12,80.12
20040101,1900,12.19,77.81
20040101,1910,12.15,81.47
20040101,1920,12.24,78.70
20040101,1930,12.38,86.17
20040101,1940,12.60,81.79
20040101,1950,12.92,85.98
20040101,2000,13.18,87.36
20040101,2010,13.46,88.74
20040101,2020,13.57,86.54
20040101,2030,13.49,86.83
20040101,2040,13.40,86.03
20040101,2050,13.30,86.73
20040101,2100,13.48,81.87
20040101,2110,13.84,82.75
20040101,2120,14.15,84.09
20040101,2130,14.35,84.37
20040101,2140,14.51,83.56
20040101,2150,14.59,84.76
20040101,2200,14.58,84.55
20040101,2210,14.61,84.96
20040101,2220,14.75,85.18
20040101,2230,14.79,84.22
20040101,2240,14.70,87.33
20040101,2250,14.61,87.53
20040101,2300,14.45,86.29
20040101,2310,14.32,89.05
20040101,2320,14.23,87.33
20040101,2330,14.09,88.76
20040101,2340,13.94,88.03
20040101,2350,13.76,86.54
20040102,0000,13.49,86.12
20040102,0010,13.23,84.65
20040102,0020,13.05,84.86
20040102,0030,12.87,82.82
20040102,0040,12.58,79.63
20040102,0050,12.36,80.37
20040102,0100,11.90,75.32
20040102,0110,11.69,73.92
20040102,0120,11.53,74.72
20040102,0130,11.47,72.30
20040102,0140,11.51,74.10
20040102,0150,11.61,74.99
20040102,0200,11.78,74.86
20040102,0210,11.72,74.44
