SITE NUMBER: 00214 RATED CAP:  154.9 IEC CLASS: 2 LOSSES (%): 16.3
SITE LATITUDE:   34.91806 LONGITUDE:  -98.55987
DATE,TIME(UTC),SPEED80M(M/S),NETPOWER(MW)
20040101,0010,10.25,150.25
20040101,0020,9.83,140.67
20040101,0030,9.47,133.05
20040101,0040,9.40,132.08
20040101,0050,9.56,131.21
20040101,0100,9.87,132.27
20040101,0110,10.45,142.16
20040101,0120,11.33,150.25
20040101,0130,12.11,150.25
20040101,0140,12.69,150.25
20040101,0150,12.81,150.25
20040101,0200,12.54,150.25
20040101,0210,12.24,149.78
20040101,0220,11.89,150.25
20040101,0230,11.98,150.25
20040101,0240,12.30,150.25
20040101,0250,12.71,150.25
20040101,0300,13.15,150.25
20040101,0310,13.49,150.25
20040101,0320,13.60,150.25
20040101,0330,13.65,150.25
20040101,0340,13.62,150.25
20040101,0350,13.61,150.25
20040101,0400,13.43,150.25
20040101,0410,13.34,150.25
20040101,0420,13.37,150.25
20040101,0430,13.77,150.25
20040101,0440,14.40,150.25
20040101,0450,15.05,150.25
20040101,0500,15.52,150.25
20040101,0510,15.76,150.25
20040101,0520,15.82,150.25
20040101,0530,15.75,150.25
20040101,0540,15.42,150.25
20040101,0550,15.01,150.25
20040101,0600,14.58,150.25
20040101,0610,14.16,150.25
20040101,0620,13.84,150.25
20040101,0630,13.65,150.25
20040101,0640,13.57,150.25
20040101,0650,13.44,150.25
20040101,0700,13.35,150.25
20040101,0710,13.19,150.25
20040101,0720,13.11,150.25
20040101,0730,13.04,150.25
20040101,0740,12.92,150.25
20040101,0750,12.73,150.25
20040101,0800,12.58,150.25
20040101,0810,12.49,150.25
20040101,0820,12.35,150.25
20040101,0830,12.18,149.91
20040101,0840,12.01,147.84
20040101,0850,11.84,147.01
20040101,0900,11.63,144.34
20040101,0910,11.42,141.92
20040101,0920,11.34,141.69
20040101,0930,11.38,143.18
20040101,0940,11.67,146.25
20040101,0950,12.00,148.85
20040101,1000,12.20,145.38
20040101,1010,12.50,145.96
20040101,1020,12.79,146.90
20040101,1030,12.84,146.67
20040101,1040,12.75,146.45
20040101,1050,12.68,145.04
20040101,1100,12.76,146.61
20040101,1110,13.00,149.97
20040101,1120,13.11,150.25
20040101,1130,13.11,150.21
20040101,1140,13.05,150.25
20040101,1150,12.48,148.38
20040101,1200,12.56,148.75
20040101,1210,12.51,150.25
20040101,1220,12.50,150.25
20040101,1230,12.53,150.25
20040101,1240,12.70,150.25
20040101,1250,12.58,150.25
20040101,1300,12.66,150.25
20040101,1310,13.04,150.25
20040101,1320,13.17,150.25
20040101,1330,13.56,150.25
20040101,1340,13.81,150.25
20040101,1350,13.80,150.25
20040101,1400,13.84,150.25
20040101,1410,13.49,150.25
20040101,1420,13.05,150.25
20040101,1430,12.65,150.25
20040101,1440,13.01,150.25
20040101,1450,13.42,150.25
20040101,1500,13.94,150.25
20040101,1510,13.04,150.25
20040101,1520,13.55,150.25
20040101,1530,14.03,150.25
20040101,1540,14.40,149.67
20040101,1550,13.07,147.42
20040101,1600,11.17,135.27
20040101,1610,10.45,121.69
20040101,1620,10.43,123.44
20040101,1630,10.43,128.58
20040101,1640,10.65,128.61
20040101,1650,12.05,145.82
20040101,1700,12.59,150.25
20040101,1710,11.32,145.54
20040101,1720,12.57,150.25
20040101,1730,14.01,150.25
20040101,1740,12.31,150.25
20040101,1750,11.79,141.81
20040101,1800,12.83,147.42
20040101,1810,13.17,147.75
20040101,1820,12.76,146.68
20040101,1830,11.93,142.71
20040101,1840,10.77,129.30
20040101,1850,10.60,116.96
20040101,1900,10.96,125.66
20040101,1910,10.94,134.15
20040101,1920,10.17,118.41
20040101,1930,10.12,112.05
20040101,1940,9.73,101.93
20040101,1950,9.30,93.91
20040101,2000,9.40,95.60
20040101,2010,9.84,103.38
20040101,2020,10.11,104.27
20040101,2030,9.95,103.46
20040101,2040,9.71,96.84
20040101,2050,9.56,96.12
20040101,2100,9.59,96.16
20040101,2110,9.52,89.49
20040101,2120,9.32,88.46
20040101,2130,9.19,83.69
20040101,2140,9.03,77.08
20040101,2150,8.89,73.55
20040101,2200,8.80,81.16
20040101,2210,8.71,75.24
20040101,2220,8.62,72.43
20040101,2230,8.56,71.23
20040101,2240,8.61,71.14
20040101,2250,8.88,80.17
20040101,2300,9.36,93.08
20040101,2310,9.58,95.75
20040101,2320,9.69,94.28
20040101,2330,9.85,102.14
20040101,2340,10.06,105.33
20040101,2350,10.28,112.94
20040102,0000,9.80,93.13
20040102,0010,10.23,105.43
20040102,0020,9.78,98.27
20040102,0030,9.50,94.03
20040102,0040,9.26,81.95
20040102,0050,9.30,83.96
20040102,0100,9.55,89.82
20040102,0110,9.61,92.76
20040102,0120,10.03,99.51
20040102,0130,10.42,105.81
20040102,0140,10.62,106.37
20040102,0150,10.66,104.60
20040102,0200,10.83,107.41
20040102,0210,11.05,113.04
20040102,0220,11.17,113.35
20040102,0230,11.08,110.97
20040102,0240,11.01,109.08
20040102,0250,11.04,110.05
20040102,0300,11.25,112.64
20040102,0310,11.40,114.73
20040102,0320,11.56,115.31
20040102,0330,11.64,116.53
20040102,0340,11.48,111.02
20040102,0350,11.33,109.21
20040102,0400,11.23,111.94
20040102,0410,11.26,114.02
20040102,0420,11.67,117.11
20040102,0430,12.08,120.05
20040102,0440,12.28,122.13
20040102,0450,12.40,122.31
20040102,0500,12.45,122.20
20040102,0510,12.47,123.74
20040102,0520,12.45,120.75
20040102,0530,12.55,121.54
20040102,0540,12.49,118.51
20040102,0550,12.25,117.02
20040102,0600,11.99,114.09
20040102,0610,11.89,118.21
20040102,0620,12.02,120.92
20040102,0630,12.10,117.48
20040102,0640,12.29,117.21
20040102,0650,12.34,117.95
20040102,0700,12.27,120.42
20040102,0710,12.23,120.90
20040102,0720,12.30,120.42
20040102,0730,12.52,122.06
20040102,0740,12.72,123.15
20040102,0750,12.82,122.55
20040102,0800,12.85,122.53
20040102,0810,12.87,123.31
20040102,0820,13.00,123.00
20040102,0830,13.22,124.25
20040102,0840,13.54,124.77
20040102,0850,13.79,124.93
20040102,0900,13.80,124.89
20040102,0910,13.63,124.74
20040102,0920,13.40,124.57
20040102,0930,13.27,124.34
20040102,0940,13.10,124.18
20040102,0950,13.04,124.33
20040102,1000,13.05,124.39
20040102,1010,13.01,123.50
20040102,1020,12.82,123.22
20040102,1030,12.61,122.12
20040102,1040,12.51,120.86
20040102,1050,12.51,120.25
20040102,1100,12.51,120.70
20040102,1110,12.44,120.59
20040102,1120,12.49,121.04
20040102,1130,12.53,121.03
20040102,1140,12.47,120.30
20040102,1150,12.29,119.14
20040102,1200,12.17,118.03
20040102,1210,12.27,117.32
20040102,1220,12.30,125.98
20040102,1230,12.15,124.15
20040102,1240,12.14,125.13
20040102,1250,12.16,125.56
20040102,1300,12.32,125.85
20040102,1310,12.28,125.59
20040102,1320,12.36,126.29
20040102,1330,12.40,126.89
20040102,1340,12.57,127.12
20040102,1350,12.69,121.44
20040102,1400,12.76,127.31
20040102,1410,13.03,127.41
20040102,1420,13.33,128.11
20040102,1430,13.87,128.42
20040102,1440,14.30,128.62
20040102,1450,14.88,128.71
20040102,1500,15.29,128.69
20040102,1510,15.45,128.77
20040102,1520,15.41,128.76
20040102,1530,15.75,128.75
20040102,1540,16.18,121.53
20040102,1550,16.40,121.49
20040102,1600,16.36,121.57
20040102,1610,16.08,121.57
20040102,1620,15.90,121.57
20040102,1630,15.67,122.87
20040102,1640,15.35,122.88
20040102,1650,15.14,122.77
20040102,1700,14.97,122.77
20040102,1710,14.86,122.86
20040102,1720,14.67,122.85
20040102,1730,14.27,122.74
20040102,1740,13.94,122.62
20040102,1750,13.71,122.39
20040102,1800,13.47,122.12
20040102,1810,13.32,121.70
20040102,1820,13.16,119.76
20040102,1830,12.90,118.94
20040102,1840,12.66,119.59
20040102,1850,12.34,115.33
20040102,1900,11.71,111.75
20040102,1910,10.90,92.72
20040102,1920,10.53,90.86
20040102,1930,10.42,88.52
20040102,1940,10.71,89.85
20040102,1950,10.98,90.88
20040102,2000,11.37,105.34
20040102,2010,11.61,108.46
20040102,2020,11.84,104.61
20040102,2030,12.10,107.96
20040102,2040,12.33,108.59
20040102,2050,12.43,111.27
20040102,2100,12.62,110.89
20040102,2110,12.92,110.44
20040102,2120,13.07,110.65
20040102,2130,13.31,111.04
20040102,2140,13.26,110.73
20040102,2150,13.22,110.27
20040102,2200,13.28,109.62
20040102,2210,13.22,109.23
20040102,2220,13.09,109.42
20040102,2230,12.98,108.72
20040102,2240,12.98,108.77
20040102,2250,13.11,109.40
20040102,2300,13.29,109.47
20040102,2310,13.43,112.77
20040102,2320,13.53,115.76
20040102,2330,13.75,115.89
20040102,2340,14.13,116.04
20040102,2350,14.75,115.41
20040103,0000,14.96,114.54
20040103,0010,14.92,107.77
20040103,0020,15.35,113.73
20040103,0030,15.41,112.58
20040103,0040,15.72,111.17
20040103,0050,15.79,106.24
20040103,0100,15.59,104.74
20040103,0110,15.59,103.35
20040103,0120,15.75,102.51
20040103,0130,15.48,101.47
20040103,0140,15.18,99.66
20040103,0150,14.86,98.35
20040103,0200,14.72,97.89
20040103,0210,14.68,95.76
20040103,0220,14.47,95.94
20040103,0230,14.17,103.84
20040103,0240,13.78,103.44
20040103,0250,13.28,103.01
20040103,0300,12.95,102.96
20040103,0310,12.78,96.75
20040103,0320,12.61,96.12
20040103,0330,12.51,93.07
20040103,0340,12.29,92.20
20040103,0350,12.18,89.76
20040103,0400,12.05,90.88
20040103,0410,11.89,87.75
20040103,0420,11.84,88.91
20040103,0430,11.84,91.32
20040103,0440,11.75,90.32
20040103,0450,11.49,85.63
20040103,0500,11.22,84.52
20040103,0510,10.95,77.27
20040103,0520,10.86,77.44
20040103,0530,10.89,75.99
20040103,0540,11.00,77.22
20040103,0550,11.47,84.40
20040103,0600,11.74,88.99
20040103,0610,11.92,90.89
20040103,0620,11.99,90.38
