SITE NUMBER: 00317 RATED CAP:  245.1 IEC CLASS: 2 LOSSES (%): 17.0
SITE LATITUDE:   42.73027 LONGITUDE: -100.06660
DATE,TIME(UTC),SPEED80M(M/S),NETPOWER(MW)
20040101,0010,11.30,221.86
20040101,0020,11.48,229.55
20040101,0030,11.54,228.74
20040101,0040,11.55,217.89
20040101,0050,11.49,215.53
20040101,0100,11.30,213.46
20040101,0110,11.59,220.48
20040101,0120,12.10,222.46
20040101,0130,12.48,223.71
20040101,0140,12.62,223.10
20040101,0150,12.44,221.73
20040101,0200,11.97,218.50
20040101,0210,11.63,214.26
20040101,0220,11.60,215.59
20040101,0230,11.81,218.05
20040101,0240,12.34,220.81
20040101,0250,12.56,221.76
20040101,0300,12.72,221.54
20040101,0310,12.75,220.97
20040101,0320,12.64,220.38
20040101,0330,12.28,218.37
20040101,0340,12.05,217.04
20040101,0350,12.15,218.98
20040101,0400,12.32,219.36
20040101,0410,12.40,220.28
20040101,0420,12.46,221.16
20040101,0430,12.49,220.57
20040101,0440,12.40,220.40
20040101,0450,12.38,219.87
20040101,0500,12.48,221.05
20040101,0510,12.77,221.77
20040101,0520,13.21,222.55
20040101,0530,13.72,233.63
20040101,0540,14.17,233.87
20040101,0550,14.43,233.80
20040101,0600,14.51,233.78
20040101,0610,14.49,233.51
20040101,0620,14.36,233.11
20040101,0630,14.04,232.47
20040101,0640,13.64,231.53
20040101,0650,13.46,231.78
20040101,0700,13.60,227.62
20040101,0710,13.95,227.40
20040101,0720,14.20,226.91
20040101,0730,14.37,226.06
20040101,0740,14.52,222.87
20040101,0750,14.58,222.52
20040101,0800,14.55,222.13
20040101,0810,14.31,221.65
20040101,0820,14.05,221.51
20040101,0830,14.07,212.62
20040101,0840,14.19,212.77
20040101,0850,14.12,212.95
20040101,0900,13.72,228.30
20040101,0910,13.02,218.12
20040101,0920,12.59,216.98
20040101,0930,12.49,216.91
20040101,0940,12.49,217.51
20040101,0950,12.26,216.54
20040101,1000,11.72,211.40
20040101,1010,11.14,202.29
20040101,1020,10.67,188.73
20040101,1030,10.19,171.03
20040101,1040,10.00,169.31
20040101,1050,10.00,171.43
20040101,1100,9.90,169.73
20040101,1110,9.80,164.60
20040101,1120,10.00,172.35
20040101,1130,10.21,177.65
20040101,1140,10.08,172.95
20040101,1150,9.63,155.34
20040101,1200,9.27,140.41
20040101,1210,9.07,128.69
20040101,1220,8.68,114.50
20040101,1230,8.36,103.85
20040101,1240,8.06,93.47
20040101,1250,7.77,84.72
20040101,1300,9.00,120.08
20040101,1310,10.78,175.76
20040101,1320,11.89,206.72
20040101,1330,12.97,217.63
20040101,1340,14.43,224.92
20040101,1350,15.75,226.51
20040101,1400,16.81,226.86
20040101,1410,17.76,227.05
20040101,1420,17.94,227.27
20040101,1430,17.71,227.50
20040101,1440,17.48,227.81
20040101,1450,17.26,228.20
20040101,1500,17.07,228.69
20040101,1510,16.77,229.27
20040101,1520,16.33,230.03
20040101,1530,16.22,230.91
20040101,1540,16.32,231.79
20040101,1550,16.45,232.71
20040101,1600,16.56,228.11
20040101,1610,16.61,228.37
20040101,1620,16.78,226.04
20040101,1630,16.83,226.16
20040101,1640,16.78,226.26
20040101,1650,16.68,226.25
20040101,1700,16.47,226.20
20040101,1710,16.26,226.19
20040101,1720,16.22,226.16
20040101,1730,16.04,226.12
20040101,1740,15.96,223.76
20040101,1750,15.91,223.77
20040101,1800,15.86,237.04
20040101,1810,15.70,237.11
20040101,1820,15.63,229.08
20040101,1830,15.42,235.54
20040101,1840,15.15,235.24
20040101,1850,14.89,235.10
20040101,1900,14.60,234.88
20040101,1910,14.15,234.37
20040101,1920,13.72,233.84
20040101,1930,13.29,231.69
20040101,1940,12.78,228.86
20040101,1950,12.28,217.78
20040101,2000,11.83,208.66
20040101,2010,11.51,199.83
20040101,2020,11.14,193.92
20040101,2030,10.84,178.76
20040101,2040,10.53,173.69
20040101,2050,10.26,159.03
20040101,2100,9.99,148.61
20040101,2110,9.93,137.63
20040101,2120,9.80,130.45
20040101,2130,9.78,130.56
20040101,2140,9.76,128.99
20040101,2150,9.65,124.02
20040101,2200,9.52,116.41
20040101,2210,9.42,116.76
20040101,2220,9.25,107.16
20040101,2230,9.35,113.72
20040101,2240,9.61,125.09
20040101,2250,9.80,131.62
20040101,2300,10.06,143.44
20040101,2310,10.13,146.97
20040101,2320,9.91,141.58
20040101,2330,9.72,129.87
20040101,2340,9.62,128.32
20040101,2350,9.69,129.27
20040102,0000,9.38,121.51
20040102,0010,9.13,115.82
20040102,0020,8.57,101.14
20040102,0030,8.31,95.28
20040102,0040,7.87,86.03
20040102,0050,7.46,78.07
20040102,0100,7.29,74.22
20040102,0110,7.03,67.33
20040102,0120,6.99,65.07
20040102,0130,6.86,59.25
20040102,0140,6.91,55.73
20040102,0150,6.95,55.07
20040102,0200,6.77,50.74
20040102,0210,6.51,44.80
20040102,0220,6.63,45.28
20040102,0230,7.22,55.59
20040102,0240,8.03,75.60
20040102,0250,8.77,97.45
20040102,0300,9.59,125.83
20040102,0310,10.37,157.17
20040102,0320,11.38,183.23
20040102,0330,13.64,199.46
20040102,0340,14.48,199.94
20040102,0350,14.29,199.67
20040102,0400,13.39,197.98
20040102,0410,12.52,189.03
20040102,0420,12.20,188.76
20040102,0430,12.01,185.86
20040102,0440,11.98,187.12
